what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505440793748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1505440872088
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.format",1505440883791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505440883884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505440885382
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1505440885398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505440890000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505440931504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505440943159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505440944360
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505440947530
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505440949357
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505440954586
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505440963327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505440976120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505440977352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505440979006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505440980753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505440991595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505440991798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505440993048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505441002539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505441004504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441008827
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505441008890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441010483
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505441010483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441010701
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505441015385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441025169
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505441028837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441035763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441037404
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505441040573
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505441042181
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505441047349
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505441056056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441075077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441076481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441078044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441086923
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505441087516
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505441089077
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505441094278
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505441098974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441101813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441102858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441104325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441105916
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505441106602
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505441108116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441111628
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505441111987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441121900
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505441123821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1505441142182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505441153404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505441156588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441161253
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505441161300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441161409
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505441161409
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505441162907
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505441167762
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505441168948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441184645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441238126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505441244601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505441245927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441250080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441251812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505441253543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505441255649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505441255992
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1505441259128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441267351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441268319
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505441435835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441439907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505441471364
