what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1512154012461
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1512154012461
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1512154012500
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1512154012500
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1512154012500
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1512154012500
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1512154012501
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1512154012501
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1512154012501
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1512154012501
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1512154012501
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1512154012501
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1512154012501
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1512154012501
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1512154012501
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1512154012502
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1512154012502
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1512154012502
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1512154012502
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1512154012503
os,sysinfo,,,"win32",1512154012506
arch,sysinfo,,,"x86",1512154012506
ws,sysinfo,,,"win32",1512154012506
locale,sysinfo,,,"pt_BR",1512154012506
processors,sysinfo,,,"4",1512154012506
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1512154012506
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1512154012506
java.specification.name,sysinfo,,,"Java Platform API Specification",1512154012506
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512154012506
java.specification.version,sysinfo,,,"1.6",1512154012506
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1512154012506
java.version,sysinfo,,,"1.6.0_23",1512154012506
java.vm.info,sysinfo,,,"mixed mode",1512154012506
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1512154012506
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1512154012506
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512154012506
java.vm.specification.version,sysinfo,,,"1.0",1512154012506
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1512154012506
java.vm.version,sysinfo,,,"19.0-b09",1512154012506
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1512154012611
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154012665
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1512154012746
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1512154013179
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1512154015857
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1512154016040
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1512154016047
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1512154016073
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1512154016076
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512154016150
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154017821
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1512154017925
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1512154017943
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1512154017943
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1512154017943
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1512154017943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154023072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154035655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154038013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154051031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154056595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154057538
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154059347
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512154061143
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154061896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512154071489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512154073042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154105775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154111930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154118707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154119521
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154121354
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512154122122
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154125405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154126438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154136089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154142182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154148231
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154148265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154152471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154153093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154154154
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154155195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154155915
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512154155920
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154159189
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154180059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512154187469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512154193491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154200214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154227259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512154242177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512154245465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154280143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154285175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154294899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154295686
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154297590
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512154298326
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154301727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154302982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154323563
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154323921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512154355630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512154358146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1512154360181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512154363094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512154364850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1512154385895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1512154386609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512154387367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512154389715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512154390716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512154396724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154420351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154422139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154430616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154431358
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154433187
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512154433902
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154437175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154442102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154476092
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154476439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512154483847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512154488580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154534248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154550697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512154559060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1512154559984
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154567793
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154569598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154569603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154570493
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154572270
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512154573002
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154576281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154579015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154591525
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154592808
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1512154605321
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154605485
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154605518
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154612516
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154612518
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1512154612537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154613821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154657101
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154677069
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154678754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154685056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154700001
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154701390
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512154702123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154702825
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154705604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154724709
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154724740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154731292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154735426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154735551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154736409
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154738292
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512154739050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154740249
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512154742467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512154761989
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512154762644
