what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151774621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151774745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151780254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151781658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151782922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151782937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151791925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151792190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151795607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151813377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151817186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151863037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151866962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151866993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151869224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151873124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151874107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151875885
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1512151876010
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512151876571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151877258
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512151877258
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512151880661
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512151910301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151911658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151914279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151915043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151919723
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512151967297
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512151970558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512151972196
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512151973852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152029310
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512152029341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152035098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152181329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512152184879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152193107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152199212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512152202077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152203656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152204702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152205718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152207235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152225414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152231646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512152233003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152235078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152235999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152238089
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512152239009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152239696
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512152239696
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512152243021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152244362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152267174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152284381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152287864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152288410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152300937
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1512152301920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152306319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152312513
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512152313729
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512152314525
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512152317799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152321654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152325102
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1512152354662
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512152355457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152368109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152384883
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512152385336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512152418069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512152419426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152445388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152497967
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1512152547699
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512152552270
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512152552332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512152567171
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512152568122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512152571164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1512152579323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152590838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512152739889
