what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"19.0-b09",1505428841036
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1505428841145
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1505428841161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428845326
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1505428846777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428853470
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505428854905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428861286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428863517
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1505428863517
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505428863985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428864032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428865810
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1505428866715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428866902
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1505428867901
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1505428867994
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1505428867994
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1505428867994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428870615
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1505428875077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428879679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428906855
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1505428906948
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1505428906980
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505428907058
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505428907073
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1505428907073
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505428909944
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505428909975
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1505428910022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428913641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428914936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428916028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428917744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428917806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428918820
error,log,,,"The file 'ComSe.map' could not be opened.\nSee log for details.",1505428918867
error,log,,,"Unable to open external editor for F:/ComSerial/software/ComSe/ComSe.map.",1505428918867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428918883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428919850
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1505428919865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428923953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428936059
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1505428936090
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505428952439
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1505428958929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428958991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428960349
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1505428962049
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505428972782
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1505428973359
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1505428973437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428998199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505428999369
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505429002474
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505429004128
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505429006593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505429014927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505429016034
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505429019186
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505429019997
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505429022243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505429027331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505429028423
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505429030373
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505429031184
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505429035024
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505429040437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505429045539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505429048456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505429205083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505429209825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505429218780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505429222635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505429225991
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505429238206
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505429239892
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505429244777
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505429249958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505429255481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505429255951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505429266407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505429274660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505429279825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505429286442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505429288361
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505429295744
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505429297801
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505429298022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505429312735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1505429313125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505429322849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505429323192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505429323504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505429324378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505429325376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505429327841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505429423760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505429427740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505429431441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505429432595
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505429436027
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505429437759
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505429443316
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505429452051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505429459763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505430060868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505430064199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505430065933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505430093469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505430093812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1505430094218
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505430104422
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505430104453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1505430121023
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505430122661
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505430122676
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505430123347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1505430128419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505430130463
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505430135829
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1505430137468
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505430142134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505430717662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505437082082
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1505437090897
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505437090929
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1505437096420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505437113816
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1505437118091
