what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1512088508061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1512088511322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088529110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088530797
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512088533263
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512088534043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088534964
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512088537415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088559806
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512088563117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512088571666
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512088580967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088581279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088581763
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512088581763
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512088585261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088845573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088848329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088851835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088861325
error,log,,,"Unable to validate connection settings.",1512088873560
error,log,,,"Unable to validate connection settings.",1512088873579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088873587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088879413
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512088888298
error,log,,,"Unable to validate connection settings.",1512088890254
error,log,,,"Unable to validate connection settings.",1512088890269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088890271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088900896
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512088903305
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1512088904081
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512088907407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512088908894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512089398422
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512089399779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512089405428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512089710966
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1512089724971
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1512089725034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512089730674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512089732234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512089735229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512089736775
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512089737384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512089766722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512089929364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1512089933132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1512089939111
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1512089946974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1512089973851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512089974631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1512089975676
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1512089976004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1512089976363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1512089976628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1512089976784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1512089977018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1512089977221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1512089980715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512089983400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512089985382
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1512089990251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512089993342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512089995559
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512089995590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512090005779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512090047818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512090163002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512090209184
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1512090297699
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512090301229
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512090301307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512090339441
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1512090341515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1512090343543
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1512090343684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512090346055
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1512090351688
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1512090351859
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1512090352795
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1512090353076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512090356149
